RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
2263,2019_04_09 18:27:59,1.6083,-0.5884,7.963,32.05,33.05,5.859,600,720
2264,2019_04_09 18:28:00,0.1569,-0.1177,7.4531,32.05,33.07,6.494,540,780
2265,2019_04_09 18:28:01,1.2553,-3.1774,8.0022,32.09,33.13,5.518,540,780
2266,2019_04_09 18:28:02,0.5099,-0.9807,7.4531,32.03,33.11,5.859,600,720
2267,2019_04_09 18:28:03,-1.4122,-6.7862,9.689,32.09,33.13,5.762,540,780
2268,2019_04_09 18:28:04,2.2359,-2.3928,7.9238,32.05,33.07,6.25,600,780
2269,2019_04_09 18:28:05,13.7685,4.1972,8.0807,32.05,33.05,6.641,600,780
2270,2019_04_09 18:28:06,2.2359,-3.2558,8.1984,32.05,33.05,6.152,600,780
2271,2019_04_09 18:28:07,-0.0785,-1.9221,7.6492,32.09,33.07,6.641,600,840
2272,2019_04_09 18:28:08,1.5298,-0.1961,7.8453,32.05,33.07,6.299,600,840
2273,2019_04_09 18:28:09,4.2757,1.2945,7.1392,32.09,33.11,6.396,600,780
2274,2019_04_09 18:28:10,1.2553,-2.079,7.7276,32.03,33.03,6.543,600,840
2275,2019_04_09 18:28:11,0.863,-0.5099,7.963,32.11,33.13,6.445,660,840
2276,2019_04_09 18:28:12,3.2558,-0.6276,9.3752,32.03,33.11,6.689,600,840
2277,2019_04_09 18:28:13,1.6475,-1.2553,8.2768,32.09,33.03,6.348,600,780
2278,2019_04_09 18:28:14,0.7061,-2.1575,7.3746,32.09,33.07,6.25,600,840
2279,2019_04_09 18:28:15,-0.7453,0.5492,8.1984,32.09,33.05,6.494,600,780
2280,2019_04_09 18:28:16,2.9028,-0.5492,8.826,32.05,33.11,6.641,660,840
2281,2019_04_09 18:28:17,0.9414,-3.1774,7.6492,32.03,33.07,6.201,600,840
2282,2019_04_09 18:28:18,0.1177,-2.0006,7.7276,32.05,33.21,6.25,600,780
2283,2019_04_09 18:28:19,-1.4514,1.8044,7.7276,32.09,33.27,6.592,600,840
2284,2019_04_09 18:28:20,5.2564,1.3729,7.61,32.11,33.29,6.445,600,780
2285,2019_04_09 18:28:21,3.6088,-2.0006,8.3945,32.13,33.13,6.201,600,780
2286,2019_04_09 18:28:22,1.4122,-2.3536,8.0022,32.05,33.07,6.299,600,840
