RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
4579,2019_04_10 17:30:02,1.3337,-0.1569,8.2768,32.31,32.99,7.617,480,600
4580,2019_04_10 17:30:03,0.8238,-0.6669,7.8453,32.35,33.05,7.861,420,600
4581,2019_04_10 17:30:04,0.3138,-1.2945,7.9238,32.33,33.05,6.689,480,600
4582,2019_04_10 17:30:05,0.7453,-0.3138,7.7669,32.35,33.11,7.52,420,600
4583,2019_04_10 17:30:06,0.0785,-0.8238,7.7276,32.35,33.11,7.52,480,600
4584,2019_04_10 17:30:07,1.726,-0.5492,8.3945,32.33,33.05,7.373,420,600
4585,2019_04_10 17:30:09,0.8238,-1.1376,7.4138,32.35,33.05,6.494,480,600
4586,2019_04_10 17:30:09,0.5492,-1.5298,8.1984,32.35,33.11,7.666,420,600
4587,2019_04_10 17:30:10,2.1182,-1.0199,8.5122,32.33,33.11,7.617,480,600
4588,2019_04_10 17:30:11,1.1376,-2.2751,7.7669,32.33,33.13,6.787,420,600
4589,2019_04_10 17:30:12,1.4122,-0.9022,8.0415,32.37,33.05,7.324,480,600
4590,2019_04_10 17:30:13,0.9022,-1.8829,7.963,32.35,33.11,6.396,420,600
4591,2019_04_10 17:30:14,1.0983,-1.8829,7.4138,32.35,33.13,7.129,480,630
,,,,,,,,,
4625,2019_04_10 18:15:27,0.5884,-2.0006,8.1591,32.11,32.03,8.594,630,810
4626,2019_04_10 18:15:30,2.1182,-2.1182,8.316,32.13,32.13,8.838,600,780
4627,2019_04_10 18:15:31,2.7066,-1.9613,8.3553,32.13,31.99,8.105,540,780
4628,2019_04_10 18:15:32,1.726,-2.079,7.8845,32.15,32.05,7.91,600,780
4629,2019_04_10 18:15:33,0.3138,-0.7061,8.0807,32.13,31.99,7.666,600,780
4630,2019_04_10 18:15:34,1.9613,-0.1569,8.7868,32.13,31.99,8.594,540,780
4631,2019_04_10 18:15:35,0.2746,-2.2359,7.4138,32.13,31.99,8.447,600,750
4632,2019_04_10 18:15:36,2.8635,-3.3343,7.8845,32.11,32.05,7.861,540,750
4633,2019_04_10 18:15:37,2.432,0.0392,8.6691,32.11,32.03,7.813,600,780
4634,2019_04_10 18:15:38,1.726,-1.9613,7.9238,32.13,32.03,7.861,540,750
4635,2019_04_10 18:15:39,2.7459,-0.2354,8.9829,32.11,32.05,8.496,540,750
4636,2019_04_10 18:15:40,1.1768,-1.2553,7.4531,32.11,31.99,8.838,600,720
4637,2019_04_10 18:15:41,3.8834,0.1961,8.5906,32.13,31.99,7.666,540,780
4638,2019_04_10 18:15:42,3.7265,2.3144,8.6299,32.11,32.03,8.838,540,720
4639,2019_04_10 18:15:43,0.863,-1.726,7.7276,32.13,32.03,8.789,540,780
4640,2019_04_10 18:15:44,0.7061,-0.9022,7.9238,32.11,32.09,7.813,540,720
4641,2019_04_10 18:15:45,1.9613,-2.3144,7.7276,32.13,32.09,8.105,540,720
4642,2019_04_10 18:15:46,0.0785,-1.6867,7.5707,32.13,31.97,8.252,600,720
4643,2019_04_10 18:15:47,2.7459,-1.4906,8.2768,32.11,31.99,7.422,540,780
4644,2019_04_10 18:15:48,1.6867,-2.432,7.7276,32.11,32.03,7.617,540,720
4645,2019_04_10 18:15:49,-0.353,-3.0204,7.3354,32.13,32.09,7.617,540,720
4646,2019_04_10 18:15:50,2.079,1.0199,7.963,32.15,32.03,8.35,540,720
4647,2019_04_10 18:15:51,1.4906,1.3337,8.316,32.13,32.03,8.057,540,720
4648,2019_04_10 18:15:52,1.216,-2.2751,7.7669,32.15,32.03,8.447,540,720
4649,2019_04_10 18:15:53,3.3343,-0.6669,8.6691,32.13,31.99,7.52,540,720
4650,2019_04_10 18:15:54,0.9414,-3.3343,7.5707,32.13,31.97,7.959,540,720
4651,2019_04_10 18:15:55,1.9221,-0.9807,7.8061,32.13,31.85,7.666,540,720
4652,2019_04_10 18:15:56,-1.9613,-1.0199,7.1392,32.13,32.09,7.568,480,720
