RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM,,
308,2019_04_08 15:02:24,0.7061,-2.3928,7.5315,31.91,32.95,7.617,660,660,,
309,2019_04_08 15:02:25,1.2945,-0.7453,7.5707,31.91,32.75,7.422,660,720,,
310,2019_04_08 15:02:26,0.353,-1.4906,7.61,31.93,32.89,6.934,720,660,,
311,2019_04_08 15:02:27,-0.1961,-1.726,8.3945,31.93,32.99,7.275,660,690,,
312,2019_04_08 15:02:28,0.9414,-0.2354,8.6299,31.93,32.97,7.275,660,690,,
313,2019_04_08 15:02:29,2.7459,-1.7652,7.8453,31.93,32.85,7.129,660,660,,
314,2019_04_08 15:02:30,0.9022,-3.7658,8.1591,31.93,32.81,6.641,690,720,,
315,2019_04_08 15:02:31,0.353,-1.0199,7.8453,31.91,32.91,7.324,690,660,,
316,2019_04_08 15:02:32,0.2746,-0.353,7.4531,31.95,32.83,7.178,660,720,,
317,2019_04_08 15:02:33,1.8044,-2.5497,7.9238,31.93,32.83,6.885,660,660,,
318,2019_04_08 15:02:34,0.5099,-3.0989,7.4138,31.93,32.85,7.129,660,660,,
319,2019_04_08 15:02:35,0.5884,-0.3138,8.0022,31.95,32.91,6.592,660,720,,
320,2019_04_08 15:02:36,0.8238,-1.9613,8.0807,31.93,32.95,7.275,660,660,,
321,2019_04_08 15:02:37,1.9221,-2.3536,7.6492,31.97,32.91,7.422,720,660,,
322,2019_04_08 15:02:38,0.9807,-3.7658,7.3354,31.99,32.91,7.568,660,720,,
323,2019_04_08 15:02:39,1.3729,-2.1182,7.3746,31.97,32.97,7.568,660,660,,
324,2019_04_08 15:02:40,0.0392,-0.4315,7.2569,31.97,32.89,6.299,660,660,,
325,2019_04_08 15:02:41,0.0392,-0.863,7.9238,31.95,32.95,7.129,660,720,,
326,2019_04_08 15:02:42,0.8238,-1.9613,8.3553,31.97,33.03,6.641,660,660,,
327,2019_04_08 15:02:43,1.0199,-2.3928,7.9238,31.95,32.91,7.568,660,660,,
328,2019_04_08 15:02:44,1.3729,-1.0591,7.6884,31.95,32.81,7.227,660,660,,
329,2019_04_08 15:02:45,0.6669,-1.4122,7.7669,31.97,32.91,6.836,660,720,,
330,2019_04_08 15:02:46,0.1961,0.7061,8.0807,31.95,32.85,7.08,660,660,,
331,2019_04_08 15:02:47,0.5099,-2.4713,7.7276,31.97,32.97,7.227,660,660,,
332,2019_04_08 15:02:48,0.0392,-2.5497,7.963,31.97,32.91,6.592,660,690,,
333,2019_04_08 15:02:49,1.5691,-0.6669,8.0022,31.97,32.91,7.422,660,690,,
334,2019_04_08 15:02:50,1.1768,-0.6276,8.0807,31.97,32.97,7.471,660,660,,
335,2019_04_08 15:02:51,2.0006,-1.216,8.7083,31.99,32.95,7.227,660,660,,
336,2019_04_08 15:02:52,1.7652,-2.1575,8.0415,31.95,32.95,7.568,660,660,,
337,2019_04_08 15:02:53,1.1376,-0.1961,7.7276,31.97,32.99,7.422,660,660,,
338,2019_04_08 15:02:54,0.9807,-1.4514,8.0022,31.95,32.83,7.178,660,720,,
339,2019_04_08 15:02:55,3.6088,-0.1177,7.8845,31.97,33.03,-0.146,600,600,,
345,2019_04_08 15:34:50,4.2365,-1.0199,8.8652,31.73,31.71,8.691,810,870,,
346,2019_04_08 15:34:53,0.5492,-1.2945,8.0415,31.71,31.71,7.959,810,780,,
347,2019_04_08 15:34:54,0.2354,0.8238,7.5707,31.71,31.81,8.154,810,810,,
348,2019_04_08 15:34:55,-0.1177,-4.3149,7.7276,31.71,31.75,8.105,780,810,,
349,2019_04_08 15:34:56,-1.4122,-1.5298,7.2569,31.71,31.83,8.594,780,780,,
350,2019_04_08 15:34:57,2.4713,-4.1188,7.2569,31.73,31.89,7.568,780,840,,
351,2019_04_08 15:34:58,-0.1961,-2.1967,7.61,31.73,31.81,7.715,780,780,,
352,2019_04_08 15:34:59,1.5691,-0.4315,8.0807,31.73,31.89,8.447,780,780,,
353,2019_04_08 15:35:00,1.0199,-2.0006,8.4337,31.75,31.75,7.568,780,840,,
354,2019_04_08 15:35:01,2.0006,-3.7658,6.8647,31.71,31.91,8.838,780,780,,
355,2019_04_08 15:35:02,4.0011,-1.2553,9.1398,31.75,31.89,7.568,780,780,,
356,2019_04_08 15:35:03,2.4713,-2.0006,8.0807,31.73,31.89,7.568,780,780,,
357,2019_04_08 15:35:04,1.5298,-1.5691,7.4923,31.75,31.89,7.91,780,810,,
358,2019_04_08 15:35:05,-0.3923,-0.863,7.5707,31.73,31.81,7.764,780,810,,
359,2019_04_08 15:35:06,-2.7066,-0.5884,7.61,31.73,31.89,8.008,780,780,,
360,2019_04_08 15:35:07,-0.9414,-1.8437,7.9238,31.73,31.89,7.422,780,780,,
361,2019_04_08 15:35:08,1.6867,-2.3144,8.316,31.73,31.83,7.764,780,780,,
362,2019_04_08 15:35:09,2.7459,-0.5492,7.5707,31.73,31.85,8.203,780,780,,
363,2019_04_08 15:35:10,1.5691,-3.0204,7.6884,31.73,31.89,7.715,720,780,,
364,2019_04_08 15:35:11,2.432,-2.1182,8.1591,31.71,31.89,7.52,780,780,,
365,2019_04_08 15:35:12,1.8437,-2.079,8.2376,31.77,31.85,7.91,780,780,,
366,2019_04_08 15:35:13,5.6486,0.2746,8.7475,31.73,31.89,7.764,750,780,,
367,2019_04_08 15:35:14,1.0199,-0.5492,7.8453,31.73,31.89,8.105,750,780,,
368,2019_04_08 15:35:15,1.8437,-2.1575,7.9238,31.75,31.91,8.35,780,780,,
369,2019_04_08 15:35:16,1.0199,-1.9613,7.4923,31.75,31.97,7.324,750,780,,
370,2019_04_08 15:35:17,3.9227,-2.1967,8.2376,31.75,31.99,8.154,750,750,,
371,2019_04_08 15:35:18,2.5497,-2.9028,7.5315,31.71,31.95,7.617,780,750,,
372,2019_04_08 15:35:19,-0.4707,-1.6867,8.0415,31.73,31.95,7.764,720,780,,
373,2019_04_08 15:35:20,-0.353,-1.8437,7.5707,31.75,31.97,7.471,780,780,,
374,2019_04_08 15:35:21,5.4917,-0.5884,9.0221,31.73,31.97,7.471,720,780,,
375,2019_04_08 15:35:22,-0.2746,-4.158,7.4531,31.71,31.97,7.129,780,780,,
376,2019_04_08 15:35:23,0,-1.7652,7.5315,31.75,31.99,7.52,750,720,,
377,2019_04_08 15:35:24,0.2354,-0.3923,7.7276,31.73,32.05,7.568,750,780,,
378,2019_04_08 15:35:25,1.6867,-0.9022,8.3945,31.73,32.03,7.617,750,780,,
379,2019_04_08 15:35:26,0.353,0.5884,7.2177,31.75,32.03,8.008,750,780,,
380,2019_04_08 15:35:27,2.3928,-1.0983,7.8453,31.75,31.99,8.301,720,720,,
381,2019_04_08 15:35:28,2.1182,-2.0398,8.1984,31.73,32.03,7.568,780,780,,
382,2019_04_08 15:35:29,0.9022,-2.3928,7.61,31.75,32.03,7.91,720,750,,
383,2019_04_08 15:35:30,1.7652,-0.2746,8.2768,31.75,32.03,8.35,780,750,,
384,2019_04_08 15:35:31,4.5503,-2.4713,8.4729,31.73,32.05,7.568,720,780,,
