RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
6546,2019_04_12 23:15:22,3.0989,-1.0199,9.4144,32.11,32.41,5.762,660,960
6547,2019_04_12 23:15:23,0.0392,-0.3923,8.2768,32.11,32.35,5.127,720,900
6548,2019_04_12 23:15:24,2.1967,-3.7265,7.9238,32.09,32.35,5.762,720,960
6549,2019_04_12 23:15:25,1.9221,-4.1188,8.1591,32.11,32.35,4.98,660,900
6550,2019_04_12 23:15:26,0.7453,1.0199,7.61,32.11,32.33,5.908,720,960
6551,2019_04_12 23:15:27,1.6867,-0.3923,7.6492,32.09,32.39,5.42,660,960
6552,2019_04_12 23:15:28,1.0199,1.4906,8.1199,32.05,32.35,5.176,720,900
6553,2019_04_12 23:15:29,0.5099,-1.3729,7.7669,32.05,32.39,5.225,690,960
6554,2019_04_12 23:15:30,-0.3138,-0.7061,7.8453,32.05,32.41,5.713,690,900
6555,2019_04_12 23:15:31,0.9022,0.1961,8.4729,32.09,32.41,5.273,720,960
6556,2019_04_12 23:15:32,1.216,1.4906,7.61,32.11,32.45,4.834,660,900
6557,2019_04_12 23:15:33,2.079,1.9221,7.9238,32.11,32.45,4.98,720,960
6558,2019_04_12 23:15:34,1.216,-1.726,8.5122,32.09,32.39,5.273,660,930
6559,2019_04_12 23:15:35,0.4707,-0.1569,7.7669,32.15,32.45,5.42,720,930
6560,2019_04_12 23:15:36,1.0983,-0.4707,7.9238,32.11,32.49,5.908,720,960
6561,2019_04_12 23:15:37,1.5691,0.6669,8.316,32.11,32.47,5.615,660,900
6562,2019_04_12 23:15:38,3.2166,-3.0597,8.7868,32.11,32.59,5.225,720,960
6563,2019_04_12 23:15:39,0.9807,0.9414,7.6492,32.11,32.49,4.98,660,900
6564,2019_04_12 23:15:40,1.5691,-3.6481,8.2768,32.11,32.47,5.029,720,960
6565,2019_04_12 23:15:41,1.2945,-2.3144,7.5707,32.09,32.53,5.371,720,960
6566,2019_04_12 23:15:42,2.7459,-2.4713,7.8845,32.09,32.47,5.322,660,900
6567,2019_04_12 23:15:43,0.0392,-7.0608,7.2961,32.13,32.53,5.225,720,960
6568,2019_04_12 23:15:44,1.2945,0.7845,8.316,32.13,32.47,5.811,690,900
6569,2019_04_12 23:15:45,2.4713,-2.2751,7.963,32.13,32.45,5.078,690,960
6570,2019_04_12 23:15:46,1.4122,-1.0591,8.3945,32.15,32.53,5.713,720,900
6571,2019_04_12 23:15:47,0.2746,-5.1387,7.2569,32.13,32.53,5.322,660,960
6572,2019_04_12 23:15:48,0.5492,-1.1768,7.61,32.13,32.53,5.127,720,960
6573,2019_04_12 23:15:49,1.4122,-0.7453,8.0415,32.15,32.47,5.664,660,900
6574,2019_04_12 23:15:50,0.9022,-0.3923,7.2569,32.13,32.49,5.469,720,960
6575,2019_04_12 23:15:51,1.4906,-0.1961,8.0415,32.15,32.55,5.322,720,900
6576,2019_04_12 23:15:52,1.216,-1.3729,7.4531,32.15,32.53,5.859,660,960
6577,2019_04_12 23:15:53,2.1182,-2.5497,7.8845,32.13,32.45,5.127,720,900
6578,2019_04_12 23:15:54,0.6276,0.0392,7.4531,32.13,32.47,5.078,660,960
6579,2019_04_12 23:15:55,0.4707,0.2746,8.2376,32.17,32.53,4.932,720,900
6580,2019_04_12 23:15:56,1.216,1.2553,8.6691,32.11,32.47,5.029,690,960
6581,2019_04_12 23:15:57,1.4514,-0.6276,7.6884,32.17,32.53,5.176,690,960
6582,2019_04_12 23:15:58,1.5691,-1.0199,8.1199,32.15,32.53,5.469,720,900
6583,2019_04_12 23:15:59,-0.0785,0.4315,8.0807,32.15,32.55,5.762,660,960
