RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
7211,2019_04_13 00:38:45,2.9028,-2.5497,8.316,33.03,33.65,6.592,540,720
7212,2019_04_13 00:38:45,1.1376,2.8635,8.0022,33.05,33.57,5.859,540,720
7213,2019_04_13 00:38:47,0.4707,-3.1774,8.1591,33.05,33.63,5.811,540,720
7214,2019_04_13 00:38:48,2.2359,-1.4906,8.2376,33.05,33.65,5.615,540,720
7215,2019_04_13 00:38:49,2.2359,-0.8238,9.0221,33.05,33.57,6.25,540,720
7216,2019_04_13 00:38:50,1.9613,-4.4718,7.963,33.03,33.71,6.055,540,720
7217,2019_04_13 00:38:51,1.4122,-3.4912,7.3746,33.05,33.71,5.859,540,720
7218,2019_04_13 00:38:52,3.295,-2.2359,8.1984,33.07,33.63,6.25,540,720
7219,2019_04_13 00:38:53,1.3337,-2.7459,7.4138,33.07,33.63,6.152,540,720
7220,2019_04_13 00:38:54,1.726,-1.3729,8.4729,33.05,33.71,5.957,510,720
7221,2019_04_13 00:38:55,4.0796,-4.5503,8.0022,33.07,33.63,6.104,540,720
7222,2019_04_13 00:38:56,1.0983,-1.8437,8.1984,33.03,33.69,5.566,510,720
7223,2019_04_13 00:38:57,-1.0199,-2.5497,9.4536,33.03,33.69,6.104,540,720
7224,2019_04_13 00:38:58,2.4713,-3.0204,7.8061,33.05,33.71,6.299,540,720
7225,2019_04_13 00:38:59,1.9613,-0.0392,8.1984,33.07,33.69,5.762,540,720
7226,2019_04_13 00:39:00,1.0983,-2.3536,7.8845,33.03,33.73,6.201,540,720
7227,2019_04_13 00:39:01,2.079,-3.295,7.4531,33.05,33.71,6.006,540,720
7228,2019_04_13 00:39:02,0.3923,-3.7265,7.3746,33.07,33.69,5.615,540,720
7229,2019_04_13 00:39:03,-0.6669,-4.9033,8.0022,33.07,33.61,5.42,540,720
7230,2019_04_13 00:39:04,2.0398,-1.0591,7.8453,33.07,33.71,5.957,540,720
7231,2019_04_13 00:39:05,1.5691,0.5884,8.4337,33.03,33.69,6.543,540,720
7232,2019_04_13 00:39:06,0.7061,-4.5895,7.2961,33.05,33.65,6.445,540,720
7233,2019_04_13 00:39:07,0.5884,-2.1575,8.2376,33.09,33.71,6.104,540,720
7234,2019_04_13 00:39:08,1.8829,-0.5884,8.6299,33.05,33.63,5.664,510,720
7235,2019_04_13 00:39:09,0.1961,2.2751,8.3945,33.07,33.69,5.566,510,720
7236,2019_04_13 00:39:10,0.1177,-0.7453,8.5906,33.07,33.69,5.713,540,720
7237,2019_04_13 00:39:11,-0.4707,-2.589,6.9431,33.05,33.65,6.25,540,720
7238,2019_04_13 00:39:12,1.6083,-1.0591,8.5122,33.07,33.71,5.908,540,720
7239,2019_04_13 00:39:13,1.4122,-2.1575,7.8845,33.09,33.73,5.469,540,720
7240,2019_04_13 00:39:14,0.7453,-2.3144,8.1984,33.05,33.65,5.762,540,720
7241,2019_04_13 00:39:15,1.8044,0.4707,8.5514,33.05,33.79,6.006,540,660
7242,2019_04_13 00:39:16,1.7652,-1.726,8.5906,33.05,33.71,6.592,540,720
7243,2019_04_13 00:39:17,2.1967,-3.1381,7.1392,33.09,33.73,6.25,540,720
7244,2019_04_13 00:39:18,0.2354,-1.6083,7.7276,33.07,33.77,5.908,510,720
7245,2019_04_13 00:39:19,0.1569,-1.0199,7.7669,33.09,33.71,6.104,510,720
7246,2019_04_13 00:39:20,2.8243,-1.7652,7.61,33.07,33.79,5.713,540,720
7247,2019_04_13 00:39:21,1.1768,-1.3729,7.7276,33.07,33.77,6.494,540,720
7248,2019_04_13 00:39:22,1.9221,0.7453,8.7475,33.09,33.77,5.469,540,720
7249,2019_04_13 00:39:23,1.3337,-1.6475,7.7276,33.05,33.69,6.152,540,720
7250,2019_04_13 00:39:24,1.7652,0.0785,7.963,33.09,33.83,6.201,540,690
7251,2019_04_13 00:39:25,0.7453,-1.8044,7.7276,33.07,33.69,5.908,510,690
7252,2019_04_13 00:39:26,0.6276,-1.1768,9.1398,33.09,33.79,6.396,510,720
7253,2019_04_13 00:39:27,1.1768,-1.8437,7.4923,33.11,33.83,5.371,540,720
7254,2019_04_13 00:39:28,0.7845,-1.726,8.5906,33.07,33.73,6.055,540,720
7255,2019_04_13 00:39:29,1.7652,0.0392,8.5906,33.09,33.63,5.664,540,720
7256,2019_04_13 00:39:30,2.7459,0.7453,7.963,33.11,33.71,5.664,540,720
7257,2019_04_13 00:39:31,0.7061,0.7453,7.7276,33.09,33.73,6.348,510,720
7258,2019_04_13 00:39:32,1.9221,0.4707,8.3553,33.09,33.79,5.42,510,690
7259,2019_04_13 00:39:33,2.432,-1.4514,7.6492,33.09,33.73,6.592,540,690
7260,2019_04_13 00:39:34,1.9613,-3.5696,8.0022,33.07,33.77,5.664,540,720
7261,2019_04_13 00:39:35,0.5492,0,7.61,33.11,33.79,6.25,540,720
7262,2019_04_13 00:39:36,0.6669,-2.3928,7.2569,33.09,33.77,6.152,540,720
7263,2019_04_13 00:39:37,-0.353,-0.9022,6.9823,33.11,33.79,5.664,540,720
7264,2019_04_13 00:39:38,0.9022,0.2354,7.6884,33.11,33.73,5.811,510,720
7265,2019_04_13 00:39:39,-1.1376,-0.2354,8.2768,33.11,33.79,5.566,510,720
7266,2019_04_13 00:39:40,1.3729,-0.9022,7.963,33.09,33.73,5.713,540,720
7267,2019_04_13 00:39:41,0.2354,-1.216,7.7276,33.09,33.71,5.42,540,660
7268,2019_04_13 00:39:42,2.8635,-0.1961,6.9039,33.09,33.71,6.348,540,720
7269,2019_04_13 00:39:43,0.353,-0.0785,7.61,33.09,33.79,5.957,540,720
7270,2019_04_13 00:39:44,2.0398,1.1768,8.5122,33.13,33.79,6.348,480,720
7271,2019_04_13 00:39:45,1.9221,-3.1774,8.1199,33.13,33.91,6.689,540,720
7272,2019_04_13 00:39:46,1.1376,-0.4315,7.8061,33.09,33.83,5.615,540,720
7273,2019_04_13 00:39:47,1.3729,-1.2553,7.8845,33.11,33.83,5.713,540,660
7274,2019_04_13 00:39:48,3.295,-1.6867,9.1006,33.11,33.83,6.592,540,720
7275,2019_04_13 00:39:49,1.3337,0.2354,8.0807,33.11,33.83,5.42,510,720
7276,2019_04_13 00:39:50,1.5691,-1.216,8.0022,33.13,33.91,6.006,510,720
7277,2019_04_13 00:39:51,0,-0.4707,7.5315,33.09,33.79,5.762,540,720
7278,2019_04_13 00:39:52,2.3928,-1.0983,7.963,33.13,33.85,6.348,540,720
7279,2019_04_13 00:39:53,1.3337,1.0591,8.2768,33.11,33.87,5.957,540,660
7280,2019_04_13 00:39:54,0.7061,-1.8437,6.7077,33.11,33.83,5.518,540,720
7281,2019_04_13 00:39:55,-0.2746,-0.863,7.963,33.13,33.83,5.713,480,720
7282,2019_04_13 00:39:56,0.7845,2.6674,9.2575,33.11,33.69,5.908,540,720
7283,2019_04_13 00:39:57,-0.0392,-0.9414,7.61,33.11,33.79,6.006,540,720
7284,2019_04_13 00:39:58,1.9613,-2.589,8.1199,33.13,33.79,5.371,540,660
7285,2019_04_13 00:39:59,0.4707,-0.5099,8.0415,33.11,33.85,5.566,540,720
7286,2019_04_13 00:40:00,0.1177,1.5298,8.316,33.11,33.77,6.152,480,720
7287,2019_04_13 00:40:01,2.942,-3.1774,8.1199,33.13,33.85,6.25,540,720
7288,2019_04_13 00:40:02,1.4122,-0.3923,8.7083,33.13,33.77,5.42,540,720
7289,2019_04_13 00:40:03,1.0591,-0.5492,7.5315,33.15,33.77,6.152,540,690
7290,2019_04_13 00:40:04,0.5884,-2.7851,7.7669,33.15,33.83,6.006,510,690
7291,2019_04_13 00:40:05,0.2354,-1.6083,7.6884,33.11,33.79,6.348,510,720
7292,2019_04_13 00:40:06,3.1381,-3.8834,7.963,33.13,33.83,6.055,540,720
7293,2019_04_13 00:40:07,-0.1177,-2.7066,7.2177,33.13,33.91,5.664,540,720
7294,2019_04_13 00:40:08,1.1376,-0.6276,7.61,33.15,33.87,6.055,540,720
7295,2019_04_13 00:40:09,0.9414,-2.0398,7.7669,33.13,33.79,6.25,510,660
7296,2019_04_13 00:40:10,-0.5492,0.1569,7.8453,33.13,33.85,5.713,510,720
7297,2019_04_13 00:40:11,-1.2553,-1.726,6.9431,33.13,33.77,6.006,540,720
7298,2019_04_13 00:40:12,0.9022,-0.6669,7.6492,33.13,33.79,5.859,540,720
7299,2019_04_13 00:40:13,-0.1569,0.2746,8.7868,33.13,33.85,5.762,510,660
7316,2019_04_13 00:44:24,1.5298,-1.0591,8.0022,33.01,32.91,6.494,630,780
7317,2019_04_13 00:44:25,-0.3923,-0.7845,7.4923,33.01,32.95,6.348,600,840
7318,2019_04_13 00:44:26,0.4707,-2.7851,7.2177,33.01,32.97,7.227,600,840
7319,2019_04_13 00:44:27,0.0392,0.1961,7.8061,33.07,32.95,6.445,600,780
7320,2019_04_13 00:44:28,0.9414,-1.3337,7.4138,33.03,32.99,6.299,660,840
7321,2019_04_13 00:44:29,0.863,-2.2359,7.3354,33.03,33.03,6.592,600,840
7322,2019_04_13 00:44:30,0.863,-4.158,7.5707,33.05,32.97,6.689,600,810
7323,2019_04_13 00:44:31,-0.1569,-0.2746,7.6884,33.03,33.03,6.592,600,810
7324,2019_04_13 00:44:32,0.7845,-2.2751,7.8845,33.01,32.99,7.08,840,840
7329,2019_04_13 00:44:37,2.5105,-1.2945,8.6691,33.03,33.03,7.178,600,840
7330,2019_04_13 00:44:38,-0.7061,0.0785,7.7276,33.03,33.03,6.055,600,780
7331,2019_04_13 00:44:39,-0.6669,-2.2359,6.5508,33.03,33.03,7.031,600,840
7332,2019_04_13 00:44:40,3.2166,-2.0006,8.4337,33.03,33.03,5.957,600,780
